Date,Open,High,Low,Close,Adj Close,Volume
1/4/2010,2.03,2.09,2.03,2.03,2.03,23300
1/5/2010,2.04,2.05,2,2,2,72200
1/6/2010,2,2.06,1.98,2.04,2.04,55700
1/7/2010,2.02,2.06,1.99,2,2,41900
1/8/2010,1.98,2.04,1.96,1.96,1.96,78200
1/11/2010,1.98,2.1,1.98,2.03,2.03,112200
1/12/2010,2.03,2.24,2.03,2.18,2.18,96100
1/13/2010,2.18,2.22,2.11,2.22,2.22,84200
1/14/2010,2.13,2.35,2.13,2.3,2.3,128200
1/15/2010,2.3,2.38,2.29,2.36,2.36,95000
1/19/2010,2.4,2.4,2.3,2.34,2.34,73700
1/20/2010,2.38,2.38,2.22,2.27,2.27,44300
1/21/2010,2.22,2.23,2.2,2.21,2.21,31000
1/22/2010,2.18,2.29,2.15,2.2,2.2,22300
1/25/2010,2.19,2.4,2.16,2.4,2.4,89700
1/26/2010,2.27,2.52,2.24,2.5,2.5,112700
1/27/2010,2.54,2.56,2.49,2.56,2.56,56700
1/28/2010,2.64,2.64,2.5,2.53,2.53,79300
1/29/2010,2.51,2.51,2.42,2.45,2.45,40000
2/1/2010,2.39,2.49,2.25,2.3,2.3,43800
2/2/2010,2.39,2.39,2.3,2.34,2.34,47600
2/3/2010,2.38,2.4,2.33,2.35,2.35,20800
2/4/2010,2.37,2.4,2.2,2.25,2.25,35100
2/5/2010,2.25,2.33,2.15,2.22,2.22,36500
2/8/2010,2.22,2.25,2.22,2.25,2.25,20900
2/9/2010,2.36,2.36,2.22,2.35,2.35,39800
2/10/2010,2.39,2.39,2.29,2.37,2.37,48500
2/11/2010,2.39,2.43,2.37,2.43,2.43,32700
2/12/2010,2.44,2.45,2.35,2.38,2.38,11500
2/16/2010,2.4,2.44,2.38,2.42,2.42,26400
2/17/2010,2.38,2.42,2.38,2.38,2.38,23700
2/18/2010,2.37,2.4,2.37,2.38,2.38,20000
2/19/2010,2.4,2.4,2.38,2.38,2.38,15300
2/22/2010,2.38,2.39,2.29,2.3,2.3,23300
2/23/2010,2.25,2.34,2.21,2.21,2.21,15900
2/24/2010,2.21,2.26,2.09,2.26,2.26,79300
2/25/2010,2.2,2.25,2.2,2.2,2.2,7600
2/26/2010,2.16,2.29,2.16,2.25,2.25,29800
3/1/2010,2.25,2.35,2.25,2.27,2.27,15400
3/2/2010,2.29,2.31,2.25,2.28,2.28,120300
3/3/2010,2.31,2.31,2.05,2.15,2.15,107200
3/4/2010,2.18,2.2,2.15,2.15,2.15,16200
3/5/2010,2.19,2.24,2.16,2.19,2.19,25700
3/8/2010,2.23,2.35,2.17,2.3,2.3,57200
3/9/2010,2.26,2.3,2.25,2.28,2.28,25500
3/10/2010,2.35,2.36,2.23,2.36,2.36,25300
3/11/2010,2.38,2.38,2.29,2.29,2.29,29400
3/12/2010,2.26,2.35,2.25,2.26,2.26,66300
3/15/2010,2.27,2.5,2.26,2.4,2.4,220500
3/16/2010,2.55,2.6,2.37,2.46,2.46,138800
3/17/2010,2.44,2.46,2.4,2.4,2.4,9400
3/18/2010,2.35,2.49,2.31,2.37,2.37,30400
3/19/2010,2.34,2.87,2.31,2.83,2.83,201900
3/22/2010,2.65,3.04,2.63,3,3,171300
3/23/2010,3,3.09,2.82,3.01,3.01,96300
3/24/2010,3.03,3.2,2.9,2.95,2.95,80500
3/25/2010,3.04,3.2,3.01,3.07,3.07,77600
3/26/2010,3.03,3.1,3.02,3.09,3.09,46500
3/29/2010,3.05,3.09,2.95,2.97,2.97,72000
3/30/2010,3.04,3.09,2.95,3.03,3.03,28400
3/31/2010,3.03,3.05,2.85,3.05,3.05,67000
4/1/2010,3.09,3.09,3,3.09,3.09,24400
4/5/2010,3.09,3.25,3.05,3.21,3.21,135700
4/6/2010,3.25,3.29,3.15,3.22,3.22,101000
4/7/2010,3.09,3.37,3.09,3.28,3.28,118800
4/8/2010,3.38,3.38,3.21,3.22,3.22,43000
4/9/2010,3.26,3.5,3.2,3.29,3.29,152500
4/12/2010,3.34,3.39,3.31,3.34,3.34,61200
4/13/2010,3.33,3.5,3.33,3.47,3.47,96400
4/14/2010,3.47,3.49,3.41,3.45,3.45,68300
4/15/2010,3.45,3.49,3.25,3.33,3.33,76400
4/16/2010,3.37,3.37,3.2,3.25,3.25,49300
4/19/2010,3.21,3.21,3.04,3.1,3.1,59500
4/20/2010,3.06,3.17,3.05,3.07,3.07,42600
4/21/2010,3.02,3.18,3,3.02,3.02,54800
4/22/2010,2.97,3.08,2.96,3.05,3.05,41400
4/23/2010,3.05,3.09,3.01,3.06,3.06,22400
4/26/2010,3.06,3.11,3,3.07,3.07,44700
4/27/2010,3.08,3.21,3.01,3.02,3.02,70900
4/28/2010,3.02,3.09,3.02,3.06,3.06,24200
4/29/2010,3.13,3.15,3.04,3.12,3.12,40500
4/30/2010,3.15,3.15,3.07,3.14,3.14,33200
5/3/2010,3.16,4.13,3.05,4.1,4.1,293900
5/4/2010,4.02,4.09,3.6,3.77,3.77,176000
5/5/2010,3.82,4.15,3.58,4.05,4.05,81700
5/6/2010,3.77,4,3.6,3.66,3.66,90100
5/7/2010,4,4.15,3.67,4.14,4.14,143700
5/10/2010,4.2,4.31,3.88,4.19,4.19,234800
5/11/2010,4.24,4.25,4.03,4.23,4.23,57400
5/12/2010,4.2,4.36,4.2,4.35,4.35,50500
5/13/2010,4.37,4.57,4.36,4.57,4.57,120600
5/14/2010,4.65,4.81,4.33,4.53,4.53,146000
5/17/2010,4.61,4.7,4.4,4.54,4.54,74300
5/18/2010,4.53,4.6,4.4,4.43,4.43,24000
5/19/2010,4.4,4.4,4.16,4.21,4.21,26100
5/20/2010,4.1,4.21,3.39,3.87,3.87,252100
5/21/2010,3.71,4.27,3.7,4.25,4.25,79300
5/24/2010,4.38,4.65,4,4.38,4.38,145000
5/25/2010,4.15,4.79,3.84,4.59,4.59,115200
5/26/2010,4.67,5.32,4.65,5.31,5.31,281600
5/27/2010,5.44,5.6,4.83,5.3,5.3,347700
5/28/2010,5.28,5.4,5,5.33,5.33,290500
6/1/2010,4.97,5.15,4.82,4.93,4.93,153700
6/2/2010,5.03,5.5,4.94,5.2,5.2,74500
6/3/2010,5.24,5.35,4.44,4.57,4.57,119700
6/4/2010,4.55,4.9,4.51,4.87,4.87,60100
6/7/2010,5.09,5.14,4.83,5.04,5.04,82700
6/8/2010,4.98,5.1,4.52,4.59,4.59,91200
6/9/2010,4.65,4.78,4.5,4.54,4.54,56500
6/10/2010,4.7,4.7,4.5,4.55,4.55,17200
6/11/2010,4.5,4.75,4.3,4.66,4.66,35600
6/14/2010,4.99,5.09,4.64,4.8,4.8,55200
6/15/2010,4.81,4.93,4.63,4.68,4.68,23400
6/16/2010,4.9,4.9,4.65,4.68,4.68,37900
6/17/2010,4.68,4.68,4.27,4.34,4.34,76500
6/18/2010,4.27,4.29,3.85,4.14,4.14,144800
6/21/2010,4.1,4.1,3.46,3.54,3.54,211700
6/22/2010,3.5,3.5,3.26,3.3,3.3,53600
6/23/2010,3.27,3.49,3.09,3.43,3.43,63200
6/24/2010,3.38,3.38,3.21,3.3,3.3,22000
6/25/2010,3.3,3.61,3.19,3.49,3.49,111700
6/28/2010,3.54,3.54,3.33,3.33,3.33,22600
6/29/2010,3.29,3.39,3.29,3.3,3.3,60300
6/30/2010,3.37,3.37,3.09,3.11,3.11,41600
7/1/2010,3.11,3.11,3.05,3.05,3.05,24600
7/2/2010,3.05,3.12,2.94,3.02,3.02,30900
7/6/2010,3.14,3.35,3.11,3.14,3.14,21700
7/7/2010,3.22,3.22,3.1,3.12,3.12,9600
7/8/2010,3.11,3.12,2.96,2.96,2.96,46100
7/9/2010,3.01,3.04,2.9,2.96,2.96,62700
7/12/2010,2.94,3.06,2.91,3.04,3.04,35000
7/13/2010,3.06,4,3.06,3.44,3.44,340000
7/14/2010,3.69,3.69,3.35,3.6,3.6,133000
7/15/2010,3.64,3.83,3.62,3.76,3.76,43700
7/16/2010,3.69,4.59,3.4,3.76,3.76,575900
7/19/2010,3.71,3.78,3.36,3.51,3.51,82100
7/20/2010,3.5,3.5,3.41,3.44,3.44,5700
7/21/2010,3.43,3.43,3.21,3.23,3.23,25700
7/22/2010,3.25,3.41,3.24,3.36,3.36,44800
7/23/2010,3.41,3.59,3.37,3.48,3.48,44700
7/26/2010,3.6,3.7,3.51,3.63,3.63,43900
7/27/2010,3.77,3.77,3.55,3.58,3.58,36700
7/28/2010,3.65,3.65,3.46,3.59,3.59,24900
7/29/2010,3.67,3.67,3.55,3.58,3.58,22000
7/30/2010,3.6,3.6,3.45,3.45,3.45,55200
8/2/2010,3.47,3.54,3.41,3.43,3.43,16400
8/3/2010,3.41,3.43,3.37,3.37,3.37,26600
8/4/2010,3.36,3.4,3.32,3.34,3.34,39600
8/5/2010,3.38,3.39,3.34,3.34,3.34,11700
8/6/2010,3.37,3.4,3.3,3.39,3.39,16800
8/9/2010,3.38,3.38,3.3,3.34,3.34,15100
8/10/2010,3.23,3.4,3.23,3.28,3.28,24100
8/11/2010,3.5,3.52,3.13,3.44,3.44,68600
8/12/2010,3.46,3.6,3.44,3.53,3.53,37000
8/13/2010,3.48,3.64,3.46,3.64,3.64,42300
8/16/2010,3.6,3.89,3.59,3.87,3.87,120300
8/17/2010,3.87,4.15,3.8,4.04,4.04,74700
8/18/2010,4,4.05,3.98,4.04,4.04,14400
8/19/2010,4.04,4.14,3.91,4.02,4.02,17300
8/20/2010,3.94,3.99,3.69,3.98,3.98,38500
8/23/2010,4.04,4.06,3.8,3.8,3.8,30100
8/24/2010,3.66,3.77,3.4,3.4,3.4,99100
8/25/2010,3.4,3.47,3.3,3.39,3.39,23200
8/26/2010,3.49,3.61,3.41,3.42,3.42,31800
8/27/2010,3.44,3.69,3.41,3.67,3.67,24900
8/30/2010,3.69,3.83,3.68,3.68,3.68,32800
8/31/2010,3.64,3.85,3.64,3.8,3.8,15500
9/1/2010,3.85,4,3.7,3.79,3.79,24800
9/2/2010,3.77,3.85,3.71,3.71,3.71,3100
9/3/2010,3.69,3.75,3.65,3.67,3.67,21100
9/7/2010,3.62,3.68,3.52,3.53,3.53,10800
9/8/2010,3.51,4,3.51,3.61,3.61,38500
9/9/2010,3.62,3.72,3.61,3.61,3.61,5900
9/10/2010,3.6,3.66,3.5,3.6,3.6,26300
9/13/2010,3.6,3.66,3.57,3.62,3.62,16800
9/14/2010,3.57,3.7,3.5,3.55,3.55,18800
9/15/2010,3.58,3.58,3.5,3.56,3.56,4500
9/16/2010,3.6,3.6,3.5,3.55,3.55,10900
9/17/2010,3.54,3.75,3.52,3.74,3.74,27700
9/20/2010,3.74,3.76,3.56,3.56,3.56,17100
9/21/2010,3.55,3.76,3.55,3.75,3.75,20200
9/22/2010,3.66,3.73,3.57,3.6,3.6,25900
9/23/2010,3.65,3.75,3.6,3.62,3.62,15300
9/24/2010,3.68,3.69,3.65,3.65,3.65,16000
9/27/2010,3.72,3.89,3.69,3.8,3.8,17300
9/28/2010,3.72,3.75,3.66,3.71,3.71,13200
9/29/2010,3.66,3.75,3.65,3.67,3.67,6000
9/30/2010,3.75,3.75,3.66,3.73,3.73,9100
10/1/2010,3.7,3.72,3.69,3.71,3.71,7500
10/4/2010,3.71,3.85,3.7,3.77,3.77,18600
10/5/2010,3.77,3.91,3.77,3.87,3.87,21500
10/6/2010,3.85,3.95,3.83,3.92,3.92,17200
10/7/2010,3.91,4,3.7,3.93,3.93,9300
10/8/2010,3.99,3.99,3.86,3.86,3.86,12400
10/11/2010,3.9,3.9,3.8,3.88,3.88,5900
10/12/2010,3.81,3.93,3.8,3.93,3.93,13000
10/13/2010,3.95,4,3.8,3.81,3.81,25200
10/14/2010,3.85,4.06,3.8,3.8,3.8,51800
10/15/2010,3.8,3.99,3.76,3.93,3.93,22100
10/18/2010,3.96,3.98,3.81,3.84,3.84,11000
10/19/2010,3.89,3.95,3.84,3.95,3.95,17500
10/20/2010,3.92,3.92,3.89,3.9,3.9,11500
10/21/2010,3.88,3.89,3.81,3.87,3.87,2800
10/22/2010,3.91,4,3.82,3.9,3.9,14400
10/25/2010,3.9,3.94,3.81,3.94,3.94,9900
10/26/2010,3.99,3.99,3.9,3.95,3.95,16400
10/27/2010,3.95,3.95,3.7,3.78,3.78,26100
10/28/2010,3.89,3.9,3.64,3.73,3.73,15300
10/29/2010,3.8,3.92,3.74,3.8,3.8,22100
11/1/2010,3.8,3.89,3.71,3.89,3.89,27400
11/2/2010,3.84,3.84,3.52,3.62,3.62,38600
11/3/2010,3.62,3.78,3.62,3.7,3.7,27900
11/4/2010,3.65,3.72,3.5,3.56,3.56,59100
11/5/2010,3.53,3.64,3.45,3.55,3.55,42200
11/8/2010,3.51,3.55,3.5,3.5,3.5,22200
11/9/2010,3.5,3.64,3.5,3.51,3.51,13400
11/10/2010,3.51,3.53,3.5,3.5,3.5,24700
11/11/2010,3.5,3.54,3.46,3.53,3.53,19200
11/12/2010,3.54,3.55,3.45,3.45,3.45,18300
11/15/2010,3.64,3.65,3.45,3.56,3.56,31500
11/16/2010,3.62,3.63,3.55,3.55,3.55,25900
11/17/2010,3.59,3.63,3.52,3.53,3.53,19600
11/18/2010,3.45,3.6,3.45,3.46,3.46,53200
11/19/2010,3.46,3.54,3.45,3.51,3.51,14900
11/22/2010,3.57,3.6,3.45,3.5,3.5,20900
11/23/2010,3.48,3.57,3.45,3.57,3.57,8500
11/24/2010,3.58,3.87,3.49,3.82,3.82,55200
11/26/2010,3.84,3.84,3.74,3.81,3.81,12200
11/29/2010,3.84,3.92,3.74,3.81,3.81,21000
11/30/2010,3.84,3.9,3.8,3.9,3.9,24500
12/1/2010,3.95,3.95,3.71,3.75,3.75,20600
12/2/2010,3.71,3.74,3.7,3.7,3.7,9000
12/3/2010,3.65,3.65,3.53,3.55,3.55,17200
12/6/2010,3.64,3.65,3.47,3.64,3.64,21400
12/7/2010,3.63,3.63,3.56,3.6,3.6,14200
12/8/2010,3.56,3.65,3.55,3.59,3.59,11600
12/9/2010,3.73,3.94,3.58,3.63,3.63,56900
12/10/2010,3.69,3.7,3.55,3.56,3.56,37000
12/13/2010,3.55,3.61,3.27,3.27,3.27,31100
12/14/2010,3.3,3.45,3.3,3.36,3.36,22000
12/15/2010,3.42,3.46,3.38,3.43,3.43,18400
12/16/2010,3.48,3.63,3.44,3.62,3.62,26700
12/17/2010,3.62,3.65,3.42,3.63,3.63,26900
12/20/2010,3.63,3.63,3.52,3.53,3.53,12700
12/21/2010,3.56,3.56,3.35,3.38,3.38,46700
12/22/2010,3.43,3.47,3.35,3.36,3.36,13400
12/23/2010,3.32,3.36,3.18,3.18,3.18,29100
12/27/2010,3.15,3.25,3.03,3.13,3.13,58700
12/28/2010,3.09,3.2,2.89,3.06,3.06,35000
12/29/2010,3.03,3.2,3.03,3.14,3.14,29300
12/30/2010,3.16,3.43,3.09,3.18,3.18,43800
12/31/2010,3.18,3.24,3.17,3.22,3.22,14900
1/3/2011,3.13,3.18,3.02,3.08,3.08,34900
1/4/2011,3.06,3.2,3.06,3.1,3.1,49400
1/5/2011,3.13,3.32,3.09,3.32,3.32,43200
1/6/2011,3.2,3.32,3.15,3.2,3.2,49500
1/7/2011,3.17,3.24,3.1,3.11,3.11,39600
1/10/2011,3.16,3.19,3.1,3.18,3.18,41400
1/11/2011,3.27,3.33,3.18,3.32,3.32,35100
1/12/2011,3.35,3.69,3.29,3.65,3.65,108500
1/13/2011,3.7,3.72,3.53,3.68,3.68,48100
1/14/2011,3.64,3.73,3.63,3.68,3.68,35900
1/18/2011,3.62,3.67,3.5,3.53,3.53,37200
1/19/2011,3.47,3.47,3.39,3.42,3.42,24900
1/20/2011,3.44,3.45,3.36,3.38,3.38,19900
1/21/2011,3.45,3.6,3.35,3.45,3.45,19000
1/24/2011,3.52,3.65,3.46,3.61,3.61,29700
1/25/2011,3.65,3.65,3.4,3.52,3.52,46500
1/26/2011,3.57,3.57,3.41,3.41,3.41,28200
1/27/2011,3.39,3.4,3.28,3.4,3.4,27500
1/28/2011,3.47,3.47,3.35,3.39,3.39,18000
1/31/2011,3.38,3.45,3.32,3.42,3.42,18500
2/1/2011,3.48,3.53,3.42,3.53,3.53,38400
2/2/2011,3.51,3.58,3.43,3.51,3.51,37400
2/3/2011,3.54,3.54,3.5,3.5,3.5,29200
2/4/2011,3.48,3.59,3.48,3.59,3.59,37500
2/7/2011,3.57,3.59,3.53,3.54,3.54,15400
2/8/2011,3.51,3.6,3.51,3.59,3.59,11200
2/9/2011,3.6,3.6,3.5,3.53,3.53,18500
2/10/2011,3.5,3.6,3.5,3.51,3.51,22600
2/11/2011,3.5,3.6,3.5,3.6,3.6,18300
2/14/2011,3.58,3.6,3.55,3.6,3.6,35100
2/15/2011,3.59,3.66,3.58,3.63,3.63,24100
2/16/2011,3.61,3.8,3.54,3.75,3.75,69700
2/17/2011,3.77,3.8,3.7,3.76,3.76,47100
2/18/2011,3.72,3.72,3.55,3.6,3.6,27800
2/22/2011,3.55,3.6,3.52,3.59,3.59,17200
2/23/2011,3.55,3.55,3.42,3.42,3.42,16900
2/24/2011,3.42,3.55,3.42,3.55,3.55,3400
2/25/2011,3.54,3.64,3.54,3.64,3.64,19300
2/28/2011,3.6,3.67,3.6,3.67,3.67,21900
3/1/2011,3.65,3.67,3.6,3.62,3.62,9400
3/2/2011,3.66,3.69,3.61,3.69,3.69,5100
3/3/2011,3.68,3.68,3.6,3.67,3.67,7700
3/4/2011,3.66,3.88,3.65,3.88,3.88,38900
3/7/2011,3.85,3.85,3.64,3.73,3.73,30100
3/8/2011,3.73,3.75,3.69,3.74,3.74,19900
3/9/2011,3.78,3.78,3.66,3.73,3.73,30600
3/10/2011,3.73,3.73,3.65,3.72,3.72,10000
3/11/2011,3.72,3.75,3.66,3.75,3.75,6000
3/14/2011,3.77,3.77,3.69,3.72,3.72,7100
3/15/2011,3.65,3.81,3.63,3.78,3.78,40100
3/16/2011,3.76,3.9,3.75,3.76,3.76,29300
3/17/2011,3.75,3.99,3.75,3.89,3.89,92200
3/18/2011,3.91,4,3.8,3.94,3.94,20000
3/21/2011,3.98,4.1,3.98,4.06,4.06,68100
3/22/2011,4,4.1,3.99,3.99,3.99,18500
3/23/2011,3.97,4.01,3.95,3.95,3.95,12300
3/24/2011,3.96,3.98,3.92,3.93,3.93,4300
3/25/2011,3.91,4.05,3.85,3.91,3.91,16200
3/28/2011,3.86,4,3.86,3.9,3.9,15700
3/29/2011,3.86,3.95,3.86,3.88,3.88,8800
3/30/2011,3.91,3.94,3.85,3.85,3.85,8400
3/31/2011,3.81,3.91,3.81,3.91,3.91,8500
4/1/2011,3.87,3.91,3.82,3.91,3.91,8500
4/4/2011,3.96,3.98,3.88,3.95,3.95,13900
4/5/2011,3.93,3.99,3.87,3.99,3.99,6500
4/6/2011,4.01,4.01,3.95,3.96,3.96,6700
4/7/2011,3.98,4.02,3.96,4.01,4.01,17900
4/8/2011,4.04,4.1,3.91,4.09,4.09,14300
4/11/2011,4.1,4.15,4.03,4.06,4.06,26800
4/12/2011,4.02,4.14,3.96,4.1,4.1,17500
4/13/2011,4.07,4.19,4.03,4.12,4.12,10900
4/14/2011,4.18,4.24,4.1,4.24,4.24,28000
4/15/2011,4.24,4.3,4.16,4.22,4.22,26800
4/18/2011,4.18,4.2,4,4.03,4.03,18100
4/19/2011,4.06,4.24,4.04,4.23,4.23,11800
4/20/2011,4.24,4.24,4,4.11,4.11,15600
4/21/2011,4.09,4.18,4,4.14,4.14,11700
4/25/2011,4.19,4.26,4.15,4.22,4.22,24300
4/26/2011,4.28,4.41,4.23,4.4,4.4,38600
4/27/2011,4.44,4.59,4.4,4.49,4.49,53000
4/28/2011,4.57,4.57,4.28,4.28,4.28,24000
4/29/2011,4.46,4.48,4.35,4.42,4.42,18000
5/2/2011,4.52,4.55,4.25,4.33,4.33,29000
5/3/2011,4.34,4.46,4.34,4.4,4.4,7100
5/4/2011,4.39,4.39,4.26,4.28,4.28,30100
5/5/2011,4.28,4.35,4.28,4.34,4.34,6800
5/6/2011,4.26,4.31,4.02,4.13,4.13,35000
5/9/2011,4.12,4.17,3.9,3.96,3.96,11000
5/10/2011,3.98,4,3.9,3.96,3.96,6500
5/11/2011,3.94,4.03,3.94,3.99,3.99,5100
5/12/2011,3.64,3.98,3.46,3.66,3.66,71600
5/13/2011,3.65,3.78,3.65,3.75,3.75,20000
5/16/2011,3.7,3.73,3.5,3.53,3.53,7600
5/17/2011,3.53,3.78,3.44,3.57,3.57,26200
5/18/2011,3.52,3.65,3.52,3.54,3.54,9000
5/19/2011,3.52,3.65,3.52,3.58,3.58,1900
5/20/2011,3.53,3.59,3.52,3.58,3.58,4700
5/23/2011,3.52,3.59,3.51,3.52,3.52,11600
5/24/2011,3.51,3.54,3.5,3.5,3.5,18600
5/25/2011,3.51,3.51,3.43,3.43,3.43,7900
5/26/2011,3.42,3.44,3.34,3.44,3.44,32500
5/27/2011,3.4,3.44,3.38,3.39,3.39,9400
5/31/2011,3.5,3.5,3.44,3.45,3.45,25500
6/1/2011,3.48,3.69,3.45,3.65,3.65,31000
6/2/2011,3.85,3.85,3.37,3.57,3.57,56500
6/3/2011,3.54,3.6,3.45,3.51,3.51,4500
6/6/2011,3.5,3.5,3.28,3.32,3.32,22900
6/7/2011,3.33,3.4,3.25,3.25,3.25,22100
6/8/2011,3.28,3.3,3.1,3.1,3.1,10300
6/9/2011,3.09,3.23,2.91,3.17,3.17,15900
6/10/2011,3.21,3.25,3.01,3.15,3.15,10800
6/13/2011,3.11,3.11,2.95,3,3,18700
6/14/2011,3.06,3.19,3.05,3.08,3.08,5600
6/15/2011,3.05,3.06,2.96,2.99,2.99,17300
6/16/2011,2.99,3.06,2.99,3.06,3.06,3900
6/17/2011,3.02,3.12,3.02,3.1,3.1,4400
6/20/2011,3.06,3.07,2.93,2.95,2.95,39500
6/21/2011,2.92,3.1,2.92,3,3,8600
6/22/2011,3.01,3.01,2.75,2.79,2.79,29300
6/23/2011,2.79,2.94,2.79,2.86,2.86,8400
6/24/2011,2.91,2.91,2.59,2.62,2.62,32200
6/27/2011,2.62,2.69,2.52,2.62,2.62,31100
6/28/2011,2.64,2.67,2.59,2.6,2.6,18600
6/29/2011,2.65,2.68,2.53,2.62,2.62,21400
6/30/2011,2.62,2.66,2.58,2.66,2.66,11000
7/1/2011,2.68,2.8,2.55,2.74,2.74,27800
7/5/2011,2.69,2.94,2.57,2.82,2.82,28600
7/6/2011,2.79,3,2.79,2.93,2.93,26600
7/7/2011,2.97,3.05,2.75,2.92,2.92,35600
7/8/2011,2.97,3.08,2.92,3.05,3.05,22200
7/11/2011,2.99,3.11,2.9,2.9,2.9,12200
7/12/2011,2.99,3.07,2.99,3.02,3.02,6000
7/13/2011,2.96,3.09,2.93,3,3,21100
7/14/2011,3,3.04,2.94,2.99,2.99,29100
7/15/2011,2.97,2.97,2.93,2.95,2.95,4100
7/18/2011,2.98,2.99,2.9,2.99,2.99,9300
7/19/2011,2.91,2.99,2.9,2.96,2.96,28700
7/20/2011,3.02,3.02,2.9,2.96,2.96,12000
7/21/2011,2.99,2.99,2.92,2.92,2.92,8500
7/22/2011,2.88,2.96,2.86,2.87,2.87,6600
7/25/2011,2.85,2.9,2.85,2.85,2.85,11900
7/26/2011,2.85,2.97,2.8,2.83,2.83,6300
7/27/2011,2.8,2.89,2.71,2.72,2.72,15500
7/28/2011,2.76,2.87,2.7,2.76,2.76,7800
7/29/2011,2.8,2.82,2.62,2.67,2.67,38000
8/1/2011,2.77,3.07,2.73,3.03,3.03,64900
8/2/2011,3.06,3.06,2.54,2.63,2.63,157200
8/3/2011,2.72,2.74,2.63,2.65,2.65,15600
8/4/2011,2.75,2.82,2.63,2.74,2.74,49400
8/5/2011,2.81,2.83,2.7,2.71,2.71,26500
8/8/2011,2.63,2.7,2.01,2.01,2.01,101400
8/9/2011,2.49,3.01,2.17,2.96,2.96,121200
8/10/2011,3,3,2.6,2.73,2.73,37900
8/11/2011,2.67,2.76,2.6,2.73,2.73,15100
8/12/2011,2.74,2.82,2.65,2.78,2.78,15400
8/15/2011,3,3,2.73,2.73,2.73,34900
8/16/2011,2.84,2.84,2.6,2.68,2.68,39800
8/17/2011,2.63,2.8,2.6,2.65,2.65,15800
8/18/2011,2.78,2.78,2.5,2.7,2.7,23700
8/19/2011,2.78,2.78,2.5,2.68,2.68,20100
8/22/2011,2.7,2.84,2.56,2.84,2.84,37300
8/23/2011,2.85,2.85,2.61,2.66,2.66,17700
8/24/2011,2.71,2.72,2.62,2.67,2.67,11400
8/25/2011,2.7,2.72,2.62,2.65,2.65,7900
8/26/2011,2.65,2.72,2.61,2.66,2.66,5000
8/29/2011,2.72,2.72,2.61,2.7,2.7,8800
